iter	Passed	Remaining
201	4749	18764
202	4763	18701
203	4785	18672
204	4813	18667
205	4838	18647
206	4869	18653
207	4883	18596
208	4904	18563
209	4923	18522
210	4941	18477
211	4957	18426
212	4968	18356
213	4985	18313
214	5006	18278
215	5039	18291
216	5062	18266
217	5091	18265
218	5109	18222
219	5126	18174
220	5142	18127
221	5158	18079
222	5174	18030
223	5206	18037
224	5238	18042
225	5259	18014
226	5275	17963
227	5291	17917
228	5314	17892
229	5336	17865
230	5368	17872
231	5379	17809
232	5403	17786
233	5423	17754
234	5438	17703
235	5452	17652
236	5466	17599
237	5476	17532
238	5486	17468
239	5496	17406
240	5507	17345
241	5517	17280
242	5536	17248
243	5551	17199
244	5567	17158
245	5577	17096
246	5587	17034
247	5599	16979
248	5609	16919
249	5631	16894
250	5664	16903
251	5677	16852
252	5698	16826
253	5714	16783
254	5728	16736
255	5751	16715
256	5767	16674
257	5781	16628
258	5798	16589
259	5813	16545
260	5830	16507
261	5858	16501
262	5874	16462
263	5887	16412
264	5920	16420
265	5929	16361
266	5950	16335
267	5965	16292
268	5976	16240
269	5995	16211
270	6011	16172
271	6030	16140
272	6065	16152
273	6080	16111
274	6097	16075
275	6112	16034
276	6127	15992
277	6148	15967
278	6167	15939
279	6196	15933
280	6218	15911
281	6240	15888
282	6259	15859
283	6281	15835
284	6308	15825
285	6323	15787
286	6339	15749
287	6355	15711
288	6372	15677
289	6394	15654
290	6422	15646
291	6452	15644
292	6485	15649
293	6497	15602
294	6514	15567
295	6530	15532
296	6547	15498
297	6580	15501
298	6603	15481
299	6617	15440
300	6631	15399
301	6647	15364
302	6677	15360
303	6696	15330
304	6706	15281
305	6725	15253
306	6761	15263
307	6772	15216
308	6787	15178
309	6811	15160
310	6826	15122
311	6840	15084
312	6850	15037
313	6861	14990
314	6898	15001
315	6918	14974
316	6934	14940
317	6949	14904
318	6974	14888
319	6992	14858
320	7012	14834
321	7032	14808
322	7044	14764
323	7063	14738
324	7096	14738
325	7121	14724
326	7138	14691
327	7155	14659
328	7170	14624
329	7185	14589
330	7198	14549
331	7209	14506
332	7226	14474
333	7248	14452
334	7261	14414
335	7281	14390
336	7300	14363
337	7319	14336
338	7343	14318
339	7365	14297
340	7378	14259
341	7393	14225
342	7423	14219
343	7439	14187
344	7454	14153
345	7473	14125
346	7491	14097
347	7507	14065
348	7519	14026
349	7561	14042
350	7586	14028
351	7595	13983
352	7606	13941
353	7631	13927
354	7648	13896
355	7664	13864
356	7681	13834
357	7706	13819
358	7721	13786
359	7750	13778
360	7763	13742
361	7790	13729
362	7803	13693
363	7818	13661
364	7842	13643
365	7862	13619
366	7878	13588
367	7903	13574
368	7922	13546
369	7947	13532
370	7969	13511
371	7991	13490
372	8005	13457
373	8024	13431
374	8053	13423
375	8074	13400
376	8089	13367
377	8129	13376
378	8156	13365
379	8183	13351
380	8205	13331
381	8222	13302
382	8246	13285
383	8271	13269
384	8296	13252
385	8321	13236
386	8381	13275
387	8411	13267
388	8442	13260
389	8478	13261
390	8515	13262
391	8546	13255
392	8568	13234
393	8610	13244
394	8642	13237
395	8666	13218
396	8700	13215
397	8718	13187
398	8736	13159
399	8764	13146
400	8785	13123
401	8801	13092
402	8825	13073
403	8849	13054
404	8863	13022
405	8878	12989
406	8901	12970
407	8916	12938
408	8935	12911
409	8950	12879
410	8967	12850
411	8999	12844
412	9019	12819
413	9036	12791
414	9057	12767
415	9078	12744
416	9102	12726
417	9117	12694
418	9128	12658
419	9139	12621
420	9151	12586
421	9166	12555
422	9189	12534
423	9204	12504
424	9224	12480
425	9244	12455
426	9283	12457
427	9297	12425
428	9312	12395
429	9328	12366
430	9345	12337
431	9361	12307
432	9377	12279
433	9393	12251
434	9409	12222
435	9432	12202
436	9453	12178
437	9488	12174
438	9511	12154
439	9526	12124
440	9541	12094
441	9558	12066
442	9580	12046
443	9596	12017
444	9606	11980
445	9627	11959
446	9640	11926
447	9651	11892
448	9673	11870
449	9703	11860
450	9719	11831
451	9735	11803
452	9752	11775
453	9773	11753
454	9786	11722
455	9805	11697
456	9820	11668
457	9844	11650
458	9867	11630
459	9908	11631
460	9927	11606
461	9946	11582
462	9960	11552
463	9976	11524
464	9986	11490
465	9996	11454
466	10009	11424
467	10025	11395
468	10039	11366
469	10054	11337
470	10073	11313
471	10096	11294
472	10122	11277
473	10142	11255
474	10156	11225
475	10172	11198
476	10188	11171
477	10198	11137
478	10219	11115
479	10240	11093
480	10257	11068
481	10281	11049
482	10303	11029
483	10323	11006
484	10346	10986
485	10362	10959
486	10385	10939
487	10403	10914
488	10425	10894
489	10453	10880
490	10477	10861
491	10516	10858
492	10545	10845
493	10576	10833
494	10602	10816
495	10612	10783
496	10626	10754
497	10647	10732
498	10661	10703
499	10675	10675
500	10692	10649
501	10708	10622
502	10729	10601
503	10756	10586
504	10780	10567
505	10793	10537
506	10808	10510
507	10825	10484
508	10853	10469
509	10873	10447
510	10892	10423
511	10910	10398
512	10923	10369
513	10948	10351
514	10971	10332
515	10991	10310
516	11004	10280
517	11019	10253
518	11034	10226
519	11051	10200
520	11066	10174
521	11082	10148
522	11098	10122
523	11114	10096
524	11130	10070
525	11149	10047
526	11171	10026
527	11215	10025
528	11232	10001
529	11242	9970
530	11265	9950
531	11281	9923
532	11295	9896
533	11316	9875
534	11329	9847
535	11343	9819
536	11366	9800
537	11386	9778
538	11406	9756
539	11422	9730
540	11438	9704
541	11459	9683
542	11473	9656
543	11488	9630
544	11505	9605
545	11514	9574
546	11528	9547
547	11548	9525
548	11565	9501
549	11591	9483
550	11615	9464
551	11628	9437
552	11643	9411
553	11656	9383
554	11668	9355
555	11696	9340
556	11715	9317
557	11731	9292
558	11747	9267
559	11774	9251
560	11804	9237
561	11816	9209
562	11844	9193
563	11865	9172
564	11885	9150
565	11900	9125
566	11911	9096
567	11928	9072
568	11948	9050
569	11957	9020
570	11973	8996
571	11993	8973
572	12011	8950
573	12026	8925
574	12041	8900
575	12057	8875
576	12092	8864
577	12124	8852
578	12155	8838
579	12188	8826
580	12209	8804
581	12226	8781
582	12251	8763
583	12271	8741
584	12286	8715
585	12302	8691
586	12318	8667
587	12335	8642
588	12351	8618
589	12373	8598
590	12430	8602
591	12458	8586
592	12483	8567
593	12501	8544
594	12512	8516
595	12522	8488
596	12539	8464
597	12550	8437
598	12568	8413
599	12588	8392
600	12604	8367
601	12613	8338
602	12623	8310
603	12645	8291
604	12661	8266
605	12670	8238
606	12695	8219
607	12714	8197
608	12728	8172
609	12744	8148
610	12762	8125
611	12781	8103
612	12819	8093
613	12848	8077
614	12867	8055
615	12893	8037
616	12918	8018
617	12946	8002
618	12985	7992
619	12999	7967
620	13014	7942
621	13039	7924
622	13070	7909
623	13115	7903
624	13141	7885
625	13167	7866
626	13202	7854
627	13240	7843
628	13250	7815
629	13265	7790
630	13298	7776
631	13315	7753
632	13334	7731
633	13381	7724
634	13430	7719
635	13442	7693
636	13473	7677
637	13488	7653
638	13514	7635
639	13557	7626
640	13593	7613
641	13621	7595
642	13651	7579
643	13682	7563
644	13727	7555
645	13748	7533
646	13772	7514
647	13790	7490
648	13800	7463
649	13816	7439
650	13828	7413
651	13838	7385
652	13847	7358
653	13857	7331
654	13871	7306
655	13896	7287
656	13912	7263
657	13940	7245
658	13972	7229
659	14009	7217
660	14043	7202
661	14075	7186
662	14086	7160
663	14096	7133
664	14109	7107
665	14136	7089
666	14154	7066
667	14195	7055
668	14213	7032
669	14232	7010
670	14265	6994
671	14287	6973
672	14302	6949
673	14317	6925
674	14333	6901
675	14344	6875
676	14367	6854
677	14399	6838
678	14414	6814
679	14446	6798
680	14483	6784
681	14498	6760
682	14522	6740
683	14542	6718
684	14563	6697
685	14610	6687
686	14629	6665
687	14652	6644
688	14663	6618
689	14678	6594
690	14699	6573
691	14717	6550
692	14737	6528
693	14759	6507
694	14773	6483
695	14789	6459
696	14804	6436
697	14847	6423
698	14873	6404
699	14884	6378
700	14906	6358
701	14919	6333
702	14936	6310
703	14964	6291
704	14982	6269
705	15001	6247
706	15025	6226
707	15050	6207
708	15066	6183
709	15084	6161
710	15101	6138
711	15127	6118
712	15145	6096
713	15161	6073
714	15171	6047
715	15186	6023
716	15202	6000
717	15217	5976
718	15234	5954
719	15258	5933
720	15272	5910
721	15290	5887
722	15304	5863
723	15317	5839
724	15332	5815
725	15347	5792
726	15363	5769
727	15384	5748
728	15399	5724
729	15420	5703
730	15447	5684
731	15472	5664
732	15491	5642
733	15515	5622
734	15530	5599
735	15545	5576
736	15558	5552
737	15574	5529
738	15589	5506
739	15604	5482
740	15620	5459
741	15636	5436
742	15667	5419
743	15709	5405
744	15734	5385
745	15746	5361
746	15758	5337
747	15781	5316
748	15802	5295
749	15815	5271
750	15826	5247
751	15837	5222
752	15861	5202
753	15879	5180
754	15900	5159
755	15928	5140
756	15949	5119
757	15963	5096
758	15978	5073
759	15988	5049
760	16008	5027
761	16031	5007
762	16061	4988
763	16071	4964
764	16089	4942
765	16109	4921
766	16128	4899
767	16142	4876
768	16165	4856
769	16177	4832
770	16187	4807
771	16202	4785
772	16225	4764
773	16241	4742
774	16266	4722
775	16285	4700
776	16319	4683
777	16355	4667
778	16377	4646
779	16392	4623
780	16408	4601
781	16426	4579
782	16454	4560
783	16471	4538
784	16488	4515
785	16505	4493
786	16525	4472
787	16543	4450
788	16564	4429
789	16583	4408
790	16599	4385
791	16616	4364
792	16633	4341
793	16650	4319
794	16676	4300
795	16700	4280
796	16722	4259
797	16746	4239
798	16771	4219
799	16798	4199
800	16808	4175
801	16818	4152
802	16840	4131
803	16861	4110
804	16884	4090
805	16908	4069
806	16936	4050
807	16965	4031
808	16979	4008
809	17011	3990
810	17041	3971
811	17052	3948
812	17065	3925
813	17088	3904
814	17105	3882
815	17115	3859
816	17129	3836
817	17147	3815
818	17168	3794
819	17186	3772
820	17203	3750
821	17219	3728
822	17235	3706
823	17254	3685
824	17280	3665
825	17312	3646
826	17334	3626
827	17359	3606
828	17384	3585
829	17401	3564
830	17422	3543
831	17439	3521
832	17462	3500
833	17484	3480
834	17510	3460
835	17527	3438
836	17544	3416
837	17565	3395
838	17585	3374
839	17604	3353
840	17627	3332
841	17649	3311
842	17660	3289
843	17683	3268
844	17697	3246
845	17707	3223
846	17723	3201
847	17739	3179
848	17751	3157
849	17763	3134
850	17779	3112
851	17806	3093
852	17824	3071
853	17840	3050
854	17856	3028
855	17873	3006
856	17889	2985
857	17906	2963
858	17923	2942
859	17944	2921
860	17954	2898
861	17978	2878
862	18021	2860
863	18048	2840
864	18074	2820
865	18089	2799
866	18104	2777
867	18128	2756
868	18142	2734
869	18156	2713
870	18170	2691
871	18194	2670
872	18223	2651
873	18239	2629
874	18261	2608
875	18286	2588
876	18311	2568
877	18341	2548
878	18357	2527
879	18372	2505
880	18408	2486
881	18439	2466
882	18467	2447
883	18485	2425
884	18501	2404
885	18517	2382
886	18533	2361
887	18552	2339
888	18567	2318
889	18577	2296
890	18593	2274
891	18619	2254
892	18656	2235
893	18674	2214
894	18689	2192
895	18713	2172
896	18738	2151
897	18753	2130
898	18771	2108
899	18786	2087
900	18806	2066
901	18828	2045
902	18848	2024
903	18867	2003
904	18891	1983
905	18915	1962
906	18932	1941
907	18950	1920
908	18967	1898
909	18989	1878
910	19020	1858
911	19037	1836
912	19061	1816
913	19080	1795
914	19094	1773
915	19110	1752
916	19126	1731
917	19142	1709
918	19157	1688
919	19174	1667
920	19190	1646
921	19206	1624
922	19221	1603
923	19238	1582
924	19275	1562
925	19310	1543
926	19330	1522
927	19347	1501
928	19356	1479
929	19385	1459
930	19401	1437
931	19434	1417
932	19451	1396
933	19485	1376
934	19511	1356
935	19522	1334
936	19535	1313
937	19550	1292
938	19560	1270
939	19594	1250
940	19628	1230
941	19648	1209
942	19681	1189
943	19701	1168
944	19716	1147
945	19726	1126
946	19741	1104
947	19750	1083
948	19759	1061
949	19768	1040
950	19778	1019
951	19787	997
952	19800	976
953	19815	955
954	19830	934
955	19840	913
956	19848	891
957	19863	870
958	19872	849
959	19888	828
960	19908	807
961	19918	786
962	19934	765
963	19943	744
964	19954	723
965	19962	702
966	19977	681
967	19994	660
968	20004	639
969	20015	619
970	20024	598
971	20034	577
972	20050	556
973	20071	535
974	20101	515
975	20136	495
976	20151	474
977	20179	453
978	20195	433
979	20210	412
980	20228	391
981	20243	371
982	20260	350
983	20275	329
984	20291	309
985	20311	288
986	20329	267
987	20347	247
988	20363	226
989	20376	205
990	20402	185
991	20416	164
992	20435	144
993	20454	123
994	20470	102
995	20487	82
996	20502	61
997	20520	41
998	20544	20
999	20580	0
